id,Date_n_Time,airtemp,humid,ph1,ph2,ec1,ec2,twater1,twater2,debit1,debit2,level1,level2
1,15-Mar-2019 12:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
2,15-Mar-2019 12:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
3,15-Mar-2019 12:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
4,15-Mar-2019 12:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
5,15-Mar-2019 12:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
6,15-Mar-2019 12:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
7,15-Mar-2019 12:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
8,15-Mar-2019 12:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
9,15-Mar-2019 12:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
10,15-Mar-2019 12:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
11,15-Mar-2019 13:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
12,15-Mar-2019 13:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
13,15-Mar-2019 13:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
14,15-Mar-2019 13:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
15,15-Mar-2019 13:35,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
16,15-Mar-2019 13:36,31.6,75.3, 9.66, 8.62,0.00,0.00,30.19,34.06, 4.76, 5.88,56,56
